"curie","value"
"rdf","http://www.w3.org/1999/02/22-rdf-syntax-ns#"
"rdfs","http://www.w3.org/2000/01/rdf-schema#"
"xsd","http://www.w3.org/2001/XMLSchema#"
"dc","http://purl.org/dc/elements/1.1/"
"dcterms","http://purl.org/dc/terms/"
"dwc","http://rs.tdwg.org/dwc/terms/"
"owl","http://www.w3.org/2002/07/owl#"
"gbifterms","http://rs.gbif.org/terms/1.0/"
"ac","http://rs.tdwg.org/ac/terms/"
"foaf","http://xmlns.com/foaf/0.1/"
"dcmitype","http://purl.org/dc/dcmitype/"
"eolmedia","http://eol.org/schema/media/"
"eolrefer","http://eol.org/schema/reference/"
"bibo","http://purl.org/ontology/bibo/"
"bsc","http://biscicol.org/terms/index.html#"
"dsw","http://purl.org/dsw/"
"tc","http://rs.tdwg.org/ontology/voc/TaxonConcept#"
"tn","http://rs.tdwg.org/ontology/voc/TaxonName#"
"xmpRights","http://ns.adobe.com/xap/1.0/rights/"
"dwciri","http://rs.tdwg.org/dwc/iri/"
